exp;L;B;G;run;primes_found;primes_found_atomic;time;time_atomic
22;64;64;4096;4;0;295947;0,1677;0,1663
22;64;64;4096;5;0;295947;0,1618;0,1711
22;64;64;4096;6;1;295947;0,1649;0,1715
22;64;64;4096;7;0;295947;0,1727;0,1679
22;64;64;4096;8;1;295947;0,1680;0,1693
22;64;64;4096;9;0;295947;0,1679;0,1631
22;64;128;8192;0;1;295947;0,1069;0,1029
22;64;128;8192;1;1;295947;0,1033;0,1063
22;64;128;8192;2;0;295947;0,1063;0,1058
22;64;128;8192;3;0;295947;0,1064;0,1032
22;64;128;8192;4;0;295947;0,1103;0,1028
22;64;128;8192;5;0;295947;0,1086;0,1067
22;64;128;8192;6;0;295947;0,1081;0,1074
22;64;128;8192;7;0;295947;0,1067;0,1078
22;64;128;8192;8;1;295947;0,1018;0,1098
22;64;128;8192;9;0;295947;0,1016;0,1072
22;64;256;16384;0;0;295947;0,0993;0,0959
22;64;256;16384;1;0;295947;0,0942;0,0942
22;64;256;16384;2;0;295947;0,0961;0,0939
22;64;256;16384;3;1;295947;0,0940;0,0955
22;64;256;16384;4;0;295947;0,0940;0,0938
22;64;256;16384;5;0;295947;0,0943;0,0938
22;64;256;16384;6;1;295947;0,0962;0,0939
22;64;256;16384;7;0;295947;0,0939;0,0939
22;64;256;16384;8;1;295947;0,0942;0,0938
22;64;256;16384;9;1;295947;0,0941;0,0937
22;128;16;2048;0;0;295947;0,2907;0,2929
22;128;16;2048;1;1;295947;0,2928;0,2910
22;128;16;2048;2;0;295947;0,2926;0,2908
22;128;16;2048;3;1;295947;0,2909;0,2929
22;128;16;2048;4;0;295947;0,2926;0,2909
22;128;16;2048;5;0;295947;0,2909;0,2929
22;128;16;2048;6;0;295947;0,2928;0,2930
22;128;16;2048;7;0;295947;0,2929;0,2911
22;128;16;2048;8;0;295947;0,2904;0,2926
22;128;16;2048;9;1;295947;0,2923;0,2904
22;128;32;4096;0;0;295947;0,1570;0,1585
22;128;32;4096;1;0;295947;0,1571;0,1589
22;128;32;4096;2;0;295947;0,1571;0,1589
22;128;32;4096;3;0;295947;0,1570;0,1588
22;128;32;4096;4;0;295947;0,1587;0,1570
22;128;32;4096;5;0;295947;0,1593;0,1569
22;128;32;4096;6;1;295947;0,1588;0,1565
22;128;32;4096;7;1;295947;0,1591;0,1567
22;128;32;4096;8;0;295947;0,1596;0,1567
22;128;32;4096;9;1;295947;0,1572;0,1568
22;128;64;8192;0;1;295947;0,0992;0,1000
22;128;64;8192;1;0;295947;0,1013;0,1001
22;128;64;8192;2;0;295947;0,1010;0,1003
22;128;64;8192;3;0;295947;0,0991;0,1023
22;128;64;8192;4;0;295947;0,0993;0,1000
22;128;64;8192;5;0;295947;0,0994;0,1001
22;128;64;8192;6;0;295947;0,0993;0,1002
22;128;64;8192;7;0;295947;0,0996;0,1001
22;128;64;8192;8;1;295947;0,1014;0,1001
22;128;64;8192;9;0;295947;0,0992;0,1022
